Computed PF file: mls-eval-d200-c15/mls-eval-d200-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=910]
115.2920 45.8000 6.4000
106.6680 43.8000 5.8000
147.6840 48.4000 8.4000
133.2440 46.2000 7.6000
112.6150 45.4000 6.2000
34.7339 21.4000 1.2000
28.0911 18.2000 0.8000
63.0917 36.0000 3.0000
40.4159 24.0000 1.6000
110.1130 44.8000 6.0000
56.1562 32.4000 2.6000
50.7739 28.4000 2.2000
75.6635 37.0000 3.8000
47.4403 27.8000 2.0000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
56.1444 32.4000 2.6000
21.7361 16.6000 0.4000
169.6040 48.6000 9.8000
37.5259 23.0000 1.4000
43.6441 25.8000 1.8000
50.8536 28.4000 2.2000
110.4960 45.8000 6.0000
34.7339 21.4000 1.2000
44.1885 26.6000 1.8000
172.2330 49.0000 10.0000
59.3370 32.6000 2.8000
59.5825 34.2000 2.8000
75.5791 37.0000 3.8000
56.0984 31.0000 2.6000
18.5805 15.2000 0.2000
66.6588 34.6000 3.2000
97.8671 42.0000 5.2000
40.4834 24.6000 1.6000
84.9138 38.6000 4.4000
43.5988 24.8000 1.8000
50.7291 28.2000 2.2000
107.2210 44.6000 5.8000
144.1220 48.4000 8.2000
31.3096 20.8000 1.0000
87.8464 38.8000 4.6000
28.0911 18.2000 0.8000
50.9641 28.6000 2.2000
60.3701 34.4000 2.8000
28.4063 19.0000 0.8000
40.4560 23.2000 1.6000
123.0310 46.8000 6.8000
138.3980 47.8000 7.8000
69.2782 36.2000 3.4000
91.4585 39.8000 4.8000
100.3580 43.8000 5.4000
94.3508 41.8000 5.0000
91.4733 40.0000 4.8000
50.0418 27.6000 2.2000
37.2390 21.6000 1.4000
78.6299 37.4000 4.0000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
173.1490 49.0000 10.2000
18.5805 15.2000 0.2000
21.7361 16.6000 0.4000
28.0911 18.2000 0.8000
110.7010 45.0000 6.0000
56.1292 31.8000 2.6000
90.4752 38.6000 4.8000
138.2840 48.2000 7.8000
66.5613 37.2000 3.2000
115.7630 45.6000 6.4000
91.3974 39.8000 4.8000
66.0543 34.8000 3.2000
59.9384 34.4000 2.8000
50.5656 28.8000 2.2000
28.4063 19.0000 0.8000
125.5980 46.8000 7.0000
43.6457 25.8000 1.8000
56.7458 34.2000 2.6000
31.3096 20.8000 1.0000
151.4510 48.8000 8.6000
138.2030 47.4000 7.8000
37.5259 23.0000 1.4000
40.4834 24.6000 1.6000
50.0471 27.6000 2.2000
103.5640 43.6000 5.6000
78.4626 38.4000 4.0000
106.2100 44.2000 5.8000
141.4020 48.4000 8.0000
94.1824 41.2000 5.0000
100.3250 42.0000 5.4000
94.3508 41.8000 5.0000
100.3590 43.0000 5.4000
34.7760 21.4000 1.2000
43.5510 25.2000 1.8000
40.1959 23.8000 1.6000
40.3902 24.0000 1.6000
122.6560 46.6000 6.8000
37.3603 21.6000 1.4000
44.2904 26.6000 1.8000
113.4930 45.4000 6.2000
23.5716 17.2000 0.5000
147.2280 48.2000 8.4000
51.7690 30.8000 2.3000
21.7361 16.6000 0.4000
18.5805 15.2000 0.2000
78.4626 38.4000 4.0000
44.2389 26.6000 1.8000
31.3096 20.8000 1.0000
28.4063 19.0000 0.8000
59.5825 34.2000 2.8000
85.0591 38.6000 4.4000
94.2121 41.8000 5.0000
148.1050 48.8000 8.4000
40.4560 23.2000 1.6000
40.4924 24.6000 1.6000
58.6565 32.8000 2.8000
53.7512 32.0000 2.4000
69.1358 34.6000 3.4000
97.8634 42.0000 5.2000
43.5988 24.8000 1.8000
71.4399 38.2000 3.6000
50.8536 28.4000 2.2000
69.2972 36.2000 3.4000
94.1824 41.2000 5.0000
37.5259 23.0000 1.4000
131.8160 47.2000 7.4000
50.0418 27.6000 2.2000
37.2390 21.6000 1.4000
62.8864 34.4000 3.0000
107.1000 45.0000 5.8000
119.9650 46.4000 6.6000
50.8073 28.2000 2.2000
100.3120 44.0000 5.4000
138.2600 48.0000 7.8000
28.0911 18.2000 0.8000
43.6441 25.8000 1.8000
34.7760 21.4000 1.2000
51.7690 30.8000 2.3000
23.5716 17.2000 0.5000
88.0893 38.4000 4.6000
18.5805 15.2000 0.2000
21.7361 16.6000 0.4000
110.2060 44.6000 6.0000
56.1444 32.4000 2.6000
59.5825 34.2000 2.8000
91.4922 39.8000 4.8000
131.1050 46.0000 7.4000
56.1115 31.0000 2.6000
28.0911 18.2000 0.8000
153.9130 49.0000 8.8000
128.8840 45.8000 7.2000
125.5180 45.6000 7.0000
37.2390 21.6000 1.4000
59.3316 32.6000 2.8000
34.7760 21.4000 1.2000
40.3902 24.0000 1.6000
66.0468 34.4000 3.2000
50.7739 28.4000 2.2000
50.7291 28.2000 2.2000
94.1824 41.2000 5.0000
40.4834 24.6000 1.6000
99.9572 42.0000 5.4000
100.4280 44.0000 5.4000
103.0750 44.2000 5.6000
43.6441 25.8000 1.8000
141.5140 48.0000 8.0000
77.6913 37.0000 4.0000
138.4680 47.8000 7.8000
37.5259 23.0000 1.4000
85.1075 38.0000 4.4000
69.1358 34.6000 3.4000
47.4403 27.8000 2.0000
28.4063 19.0000 0.8000
43.5515 25.2000 1.8000
31.3096 20.8000 1.0000
98.1150 41.8000 5.2000
77.8929 37.2000 4.0000
107.5860 44.4000 5.8000
137.9590 47.6000 7.8000
85.0146 37.8000 4.4000
119.8130 45.4000 6.6000
69.3564 36.2000 3.4000
134.2290 47.0000 7.6000
44.1885 26.6000 1.8000
100.3590 43.0000 5.4000
